Symbol,Name,Sector
AET,Aetna Inc,XNYS,Health Care,http://www.morningstar.com/stocks/XNYS/AET/quote.html#sal-components-company-profile,http://www.morningstar.com/stocks/XNYS/AET/quote.html#sal-components-price-fairvalue,http://www.morningstar.com/stocks/XNYS/AET/quote.html#sal-components-financials,http://www.morningstar.com/stocks/XNYS/AET/quote.html#sal-components-valuation,http://www.morningstar.com/stocks/XNYS/AET/quote.html#sal-components-oper-perf
AMG,Affiliated Managers Group Inc,XNYS,Financials,http://www.morningstar.com/stocks/XNYS/AMG/quote.html#sal-components-company-profile,http://www.morningstar.com/stocks/XNYS/AMG/quote.html#sal-components-price-fairvalue,http://www.morningstar.com/stocks/XNYS/AMG/quote.html#sal-components-financials,http://www.morningstar.com/stocks/XNYS/AMG/quote.html#sal-components-valuation,http://www.morningstar.com/stocks/XNYS/AMG/quote.html#sal-components-oper-perf
AFL,AFLAC Inc,XNYS,Financials,http://www.morningstar.com/stocks/XNYS/AFL/quote.html#sal-components-company-profile,http://www.morningstar.com/stocks/XNYS/AFL/quote.html#sal-components-price-fairvalue,http://www.morningstar.com/stocks/XNYS/AFL/quote.html#sal-components-financials,http://www.morningstar.com/stocks/XNYS/AFL/quote.html#sal-components-valuation,http://www.morningstar.com/stocks/XNYS/AFL/quote.html#sal-components-oper-perf
A,Agilent Technologies Inc,XNYS,Health Care,http://www.morningstar.com/stocks/XNYS/A/quote.html#sal-components-company-profile,http://www.morningstar.com/stocks/XNYS/A/quote.html#sal-components-price-fairvalue,http://www.morningstar.com/stocks/XNYS/A/quote.html#sal-components-financials,http://www.morningstar.com/stocks/XNYS/A/quote.html#sal-components-valuation,http://www.morningstar.com/stocks/XNYS/A/quote.html#sal-components-oper-perf
APD,Air Products & Chemicals Inc,XNYS,Materials,http://www.morningstar.com/stocks/XNYS/APD/quote.html#sal-components-company-profile,http://www.morningstar.com/stocks/XNYS/APD/quote.html#sal-components-price-fairvalue,http://www.morningstar.com/stocks/XNYS/APD/quote.html#sal-components-financials,http://www.morningstar.com/stocks/XNYS/APD/quote.html#sal-components-valuation,http://www.morningstar.com/stocks/XNYS/APD/quote.html#sal-components-oper-perf
AKAM,Akamai Technologies Inc,XNAS,Information Technology,http://www.morningstar.com/stocks/XNAS/AKAM/quote.html#sal-components-company-profile,http://www.morningstar.com/stocks/XNAS/AKAM/quote.html#sal-components-price-fairvalue,http://www.morningstar.com/stocks/XNAS/AKAM/quote.html#sal-components-financials,http://www.morningstar.com/stocks/XNAS/AKAM/quote.html#sal-components-valuation,http://www.morningstar.com/stocks/XNAS/AKAM/quote.html#sal-components-oper-perf
ALK,Alaska Air Group Inc,XNYS,Industrials,http://www.morningstar.com/stocks/XNYS/ALK/quote.html#sal-components-company-profile,http://www.morningstar.com/stocks/XNYS/ALK/quote.html#sal-components-price-fairvalue,http://www.morningstar.com/stocks/XNYS/ALK/quote.html#sal-components-financials,http://www.morningstar.com/stocks/XNYS/ALK/quote.html#sal-components-valuation,http://www.morningstar.com/stocks/XNYS/ALK/quote.html#sal-components-oper-perf
ALB,Albemarle Corp,XNYS,Materials,http://www.morningstar.com/stocks/XNYS/ALB/quote.html#sal-components-company-profile,http://www.morningstar.com/stocks/XNYS/ALB/quote.html#sal-components-price-fairvalue,http://www.morningstar.com/stocks/XNYS/ALB/quote.html#sal-components-financials,http://www.morningstar.com/stocks/XNYS/ALB/quote.html#sal-components-valuation,http://www.morningstar.com/stocks/XNYS/ALB/quote.html#sal-components-oper-perf
ARE,Alexandria Real Estate Equities Inc,XNYS,Real Estate,http://www.morningstar.com/stocks/XNYS/ARE/quote.html#sal-components-company-profile,http://www.morningstar.com/stocks/XNYS/ARE/quote.html#sal-components-price-fairvalue,http://www.morningstar.com/stocks/XNYS/ARE/quote.html#sal-components-financials,http://www.morningstar.com/stocks/XNYS/ARE/quote.html#sal-components-valuation,http://www.morningstar.com/stocks/XNYS/ARE/quote.html#sal-components-oper-perf
ALXN,Alexion Pharmaceuticals,XNAS,Health Care,http://www.morningstar.com/stocks/XNAS/ALXN/quote.html#sal-components-company-profile,http://www.morningstar.com/stocks/XNAS/ALXN/quote.html#sal-components-price-fairvalue,http://www.morningstar.com/stocks/XNAS/ALXN/quote.html#sal-components-financials,http://www.morningstar.com/stocks/XNAS/ALXN/quote.html#sal-components-valuation,http://www.morningstar.com/stocks/XNAS/ALXN/quote.html#sal-components-oper-perf
